Semantic field	Indonesian gloss	English gloss	Enggano (Brouwer early 1850s)	Enggano (Boewang 1854)	Enggano South? (v. Rosenberg 1855)	Enggano Northwest? (vd Straten & S. 1855)	Enggano North (Walland 1864)	Enggano (Francis 1870)	Enggano Northwest (v. Rosenberg 1878)	Enggano (Oudemans 1879)	Enggano (Helfrich 1888)	Enggano Kèfoe (Helfrich & Pieters 1891)	Enggano Barohia (Helfrich & Pieters 1891)	Enggano (Modigliani 1894)	Enggano Pulau Dua 1895 (Stockhof 1987)	Enggano (Helfrich 1916)	Enggano (Amran et al. 1979)	Enggano (Capell 1982)	Enggano (Nothofer 1986 ms.)	Enggano (Kähler 1987)	Enggano root (Kähler 1987)	Enggano Malakoni (Kasim et al. 1987)	Enggano Banjar Sari (Kasim et al. 1987)	Enggano Meok (Yoder 2011)	Pak Aron Elicitation 2019	Contemporary Enggano (Zakaria et al. 2023)	Contemporary Enggano root	Remarks	Number of Attestations	PAN etymon	PAN gloss	PAN source	PMP etymon	PMP gloss	PMP source	Etymological source	Remark on etymology
body parts	jari/ujung kaki	toe	mino-ai			akinoijai	minoe-ah					minoe afĕ	minoe apo																5								
	jempol kaki	toe (big)										waè	waè																2								
	kuku jari kaki	toenail										kanoenoenoe	kanoenoenoe																2								
	bersama	together												uahelu chidera															1								
human objects	jamban	toilet (outdoor)																		eda-kaixa									1								
time	besok	tomorrow			mamaniho			naomana				naoemana	naoemana	naomana	naoemanĕ		naoman							noʔman	na'uman				9								
body parts	lidah	tongue	dioh			dio	lio					èlieo	èdieo	eliho, erio	èlieŏ, èdieŏ		diobu			e-dio		di	di	di	ediė				13	*dilaq	lick	ACD, Nothofer 1986:102	*dilaq~dilat~zəlaq (PWMP)	lick	ACD	Nothofer 1986:102, Kähler 1987:43	irregular reflex?, Nothofer does not treat this as a direct descendant of PAN. The PWMP doublet can account for Batak
	peralatan	tools										habariĕ	habariĕ																2								
body parts	gigi	tooth			kaá		kah							eauca			kaab			e-kaʔa		kaaq	Ekaq	ʔekaʔ	eka'			cf. mouth, denture	9								
body parts	gigi	tooth	nini			nienie						nienie	nienie		nienie													meaning1895 'tooth, molar'	5								Toba Batak has ngingi
human objects	suluh	torch													mainoe(k)														1								
	robek	torn										nanèka	nanèka											ka-pik	ki'kapik				4								
animals	kura-kura	tortoise			kijoho															ekuha, ekəh(ə)a	[e]kuha							cf. turtle	2								
animals	kura-kura	tortoise													èoenoe oenoe					e-ʔũñũʔũñũ				ʔanuʔun	anu'un				4								
animals	kura-kura	tortoise				kolia																							1								
animals	kura-kura	tortoise																		ẽ-punuʔõʔõĩ									1	*peñu	sea turtle	ACD	*peñu	green turtle, Chelonia mydas	ACD	Edwards 2015:97-98, Nothofer 1986:101	only attestation of *ñ, final /ʔõʔõĩ/ is unexplained, though could be a historic compound; cf. e-pudukíoʔoi ‘stingray’, Nothofer's form has no initial p-
	menyentuh	touch										heifafih	heifafih																2								
	handuk	towel																						ʔaduʔ	adu			loanword handuk	2								
activities	berdagang	trade (v.)				pekelie	pekèlie				pakèlie	fakèri(e)	pakèli(e)	pachèli, pachèli [enia]	pakèlie, fahèriè					kipakedi	kedi							meaning1855vdS 'trade, give as present'_meaning1864 'sell'_meaning1891 'exchange'_meaning1895 'peace, exchange'_meaning1888 'exchange, trade'_meaning1987K 'make peace'_note1894: first word means 'trade (v.), exchange', second word means 'sell'_note1895: first word means 'trade (v.)', second word means 'exchange'	8								
activities	berdagang	trade (v.)			kewo-bobohej																							note1895: This word literally means 'trade with goods'_cf. exchange	1								
tools	jebakan (n.)	trap (n.)												uachepi															1								
tools	jebakan (n.)	trap (n.)																		ẽ-ũkũʔã, e-ukaha, e-kúhua, ẽ-ũkũh(ũ)ã								meaning1987K 'pig trap, man trap'	1	?			*suja	bamboo trail or pitfall spikes	ACD	Edwards 2015:94-97, Zorc 1995	e-kúhua (nd /u/ via vowel leak) is regular, other forms involve various irregularities
human objects	sampah	trash																		ekopikopi									1								
human objects	sampah	trash																		enõhãnã					enoh				2								
human objects	bak sampah	trash bin																		enõhõã				noh	yėh enoh				3								
people	bendahara	treasurer															kahuei												1								
people	bendahara	treasurer															orai												1								
plants	pohon	tree												epúno ito														does this mean 'banana tree'?	1								
plants	pohon	tree															ehe											cf. wood	1	*tuqəd	tree stump, stubble	ACD	*tuqəd	tree stump, stubble	ACD	Edwards 2015:94-97	
plants	pohon	tree													èpoehĕ														1								
plants	pohon	tree													kāràdi ĕ														1								
	pohon	tree										èpoehĕ	èpoehĕ																2								
	terali	trellis										èaahai	èaahai																2								
other	gemetar	tremble			taniki-niki	niekie niekie						kaniniki	kaniniki	cheachininichi						kãnĩkĩ(nĩkĩ)	nĩkĩ							meaning1855vR&1855vdS 'fear (v.)'_meaning1891 'pound (of heart)'_meaning1987K 'shiver, tremble'	6	?			*tirtir	shiver, tremble	ACD	Edwards 2015:94-97	
people	suku	tribe									ijahaaoek																		1								
human objects	celana	trousers													karāuwā									karoa	karoa				3								
	mencoba	try										kidjo	kidjo											kit	kitėp				4								
	mencoba	try										oekofè	oekofè																2								
	keributan	tumult										èdabèhoédjie	èdabèhoédjie																2								
	keruh	turbid																						kaʔ-riprip	kariprip			keruh	2								
plants	kunyit	turmeric										èfaino	èfaino		èfainŏ														3								
plants	kunyit	turmeric (Curcuma domestica)													kinŏnŏ														1								
	berbelok	turn																						pa-hɘdik					1								
	berputar	turn																						hɘdik	kipah kadiak				2								
animals	penyu	turtle	okoha								èkoha													kɨx	kėh			cf. tortoise	4								
animals	penyu	turtle													kabieĕ														1								
numerals	dua belas	twelve					kapoeloe adoeah	kahafoeloe é adoea		kahafoeloe é adoewa				cahafúlo adúwa															4								
numerals	dua belas	twelve										kifa hoekjo adoewĕ	kifa hoekjo adoewĕ		kifahoekjo adoewĕ														3								
numerals	dua puluh	twenty			kahaitaka		kaihie takkah	kahaie takka	kahai-takka	kahaie takka		kaïk taka	kaïk taka	cáic taccá	kaik taka					kahaiʔi e-kaka				kahaiʔ kak	kahi kak			lit. 'one person'	12								
numerals	dua puluh lima	twenty-five													kaik takajo alibĕ														1								
numerals	dua puluh satu	twenty-one										kaïk takajo kaïk			kaik takajo kaik														2								
numerals	dua kali	twice										anohinoewĕ	anohinoewĕ		adoewĕ kanoeĕ														3								
	berputar ; memutarbalikkan (v.)	twist (v.)										ijabadiediekie	ijabadiediekie																2								
numerals	dua	two	adoewa	adoea	adoea	adoea	adoeah	adoea	adua	adoewa	adoewĕ, adoewa	adoewĕ	adoewa	adúwa	adoewa, adoewĕ		aru			ʔadua, ʔarua, ʔalua		arūū	arūū	ʔaru	aru				19	*Sika + duSa	NUM + two	ACD	*(i)ka + duha	NUM + two	ACD	Edwards 2015:94-97, ACD 7874, Kähler 1987:47	apparently, some dialects had ʔalua (Kähler 1987:404), but this is not discussed in Kähler (1940:189-190), cf. Blust (2003:473) for *(i)ka-, cf. Mentawai rua, Nias dua (Lafeber 1922:24)
numerals	dua ratus	two hundred		aliema taka			kahafoeloe takka	kahafoeloe takka		kahafoeloe takka				cahafúlo taccá						kĩpãʔãũʔũ ekaka								note1854: literally '5x40?'	6								
tools	tombak ikan bermata dua	two-pronged gig									kiakowe	kiakoek²	kiakoek²								ekiakəʔ(ə)a, ekiakuna							meaning1891 'barb'	3								
human features	jelek	ugly				kioha	kio-haie	kióhe		kieohé				chioha	kiŏhā					kiʔóaha	ʔóaha							meaning1864 'bad'_meaning1894 'bad, ugly'_meaning1895 'bad, ugly, sin, loss'_meaning1987K 'evil, bad, ugly'	7								
human features	jelek	ugly					mahenah																					cf. bad	1								
	maag	ulcer										kĕlèpè	kĕlèpè												karep				3								
	tali pusar	umbilical cord										èfoekĕ	èpoekĕ															cf. navel & inside	2	?			*bətəŋ	belly	ACD	Edwards 2015:94-97	semantic shift

the PMP etymon is actually PWMP; possible semantic interference from *pusej > e-puko
	payung	umbrella										kohéak²	kohéak²											pãĩũ	pãyũ			note2011: loanword payung	4								
kinship	paman	uncle																						uaʔ		wa'	wa'		2								
position	di bawah	under																		ikitū	kitū								1								
body parts	lengan bawah	underarm												ehoachía															1								
	memahami	understand												pahoiá															1								
activities	membuka (simpul)	undo					améah																						1								
	membuka	unfold										kifok²ak²	kipok²ak²																2								
abstract things	kesedihan	unhappiness													aoena(k) èbahaoe														1								
	pulau tak terkenal	unknown islands	kiema		kimakima	kiema						kimo	kimo							(i)kĩmõ	kĩmõ							meaning<1855&1855vdS 'sea'_meaning1855vR 'landscape'_meaning1891: 'opposite'_cf. beyond Enggano?	6	*timuR	south or east wind	ACD	*timuR	southeast monsoon	ACD	Lafeber 1922:21, Edwards 2015:94-97	mainland Sumatra is east of Enggano Is., initial /i/ is the locative prefix. Could be an early borrowing from Malay timur > *timun > (ĩ)kĩmõ which would explain the nasalization (Smith 2020:362)
kinterms	bukan keluarga	unrelated													kèābāoewā āno(k)														1								
	sampai	until										höakok²wak²	höakok²wak²																2								
directions	hingga	up to													hŏako(k)													cf. arrive	1								
	dicopot	uprooted										afoe	apoe																2	*RabuC	uproot	ACD	*Rabut	uproot	ACD	Krauße	
	terbalik	upside-down										anojak²	anojak²																2								
	kencing	urinate												ecò										ʔĩk	iyik				3								
	kencing	urinate									omiekowaou				hamaiko, kamaiko, wamaiko									mamik	kĩmĩk			meaning1895 'piss, urine, urinate'	4								
	kencing	urinate													abakiŏbè													meaning1895 'piss, urine'	1								
	mengencingi	urinate on																						kĩhkõʔ	kahiko, kihko				2								
bodily fluids	air seni	urine										èiko	èiko		è(i)ko					ẽ-ĩkõ								meaning1895 'piss, urine, urinate'	4								
	kegunaan (n.)	use (n.)										èkihöjak²	èkihöjak²																2								
	gunakan (v.)	use (v.)										waloboe	wadoboe											ʔa-buaʔ				meaning1891&2011 'use, wear'	3								
	habis	used up										hokèorak²	hokèorak²											ka-nai	kanai				4								
	berguna	useful												eharuca															1								
	kegunaan	usefulness																						kũhũẽ	kũ'hẽnẽ				2								
body parts	rahim	uterus																		epado									1	?			*banua	inhabited territory, human ecosystem	ACD	Kähler 1987:232, Edwards 2015:94-97	
body parts	vagina	vagina													eè					eʔē									2								
natural objects	lembah	valley													èŏŏbŏ														1								
	kendaraan	vehicle																						kũʔũãh	kũ'ãh				2								
human objects	kerudung	veil					kho-pie																						1								
plants	vena (dari daun palem)	vein (of palm leaf)										kioedĕ	kioedĕ															lidi	2								
body parts	pembuluh darah	veins					a-poh					èoko	èoko											ʔeok	yok				5								
quantity	sangat	very					mokkoh																						1								
settlements	desa	village									kaoedara	kaoedara	kaoedara	caudara	kaoedara		kaudar							kaʔudar	kaudar, ka'udar			meaning1895 'main village'_meaning2011 'residential area'_note2019: first word means 'village', second word means 'residential area'	8								
people	perawan	virgin						efainama		efainama		foinanak², foinamok	foinanak², poinamok	poenamu	foinana(k), po(k)inamok					epoʔinãmõ	ʔinãmõ							meaning1870 'virgin, girl'_meaning1895 'virgin, virginity'_meaning1987K 'young girl, virgin'_note1891: first word means 'girl', second word means 'virgin'_cf. girl	7								The root means 'be sexually mature, grow up'
object features	bisa dilihat	visible										kifinak²	kipinak²																2								
sounds	suara	voice										èdjie	èdjie	egi	èdjie									iis	eic			meaning1891 'voice, language, order'_meaning2011 'word'	6								
	sumbangan sukarela	voluntary donation															eana engai												1								
other	muntah	vomit												cheoa						k-eo				ke	kikeo				4								
other	muntah	vomit																		k-ɨʔa				ie	eo				3								
other	muntah	vomit																							yėo				1								
abstract things	muntahan	vomit (n.)																							eiyeo				1								
body parts	pinggang	waist										ènomonomo	ènomonomo																2								
clothes	ikat pinggang	waist band													ènŏmŏnŏmŏ														1								
clothes	ikat pinggang dari logam	waist band made from metal													èmi(k)ie														1								
other	tunggu	wait			nahafeh	nahapai								naahapé															3								
other	tunggu	wait						momo				omokie	omokie											ʔɘm	ėm			cf. guard	5								
sleep	bangun	wake up										wĕhado	wĕhado	baharo															3								
movement	berjalan	walk					kah		kah					caha [cacocoi]						k-a(h)a, k-áhae									4								
movement	berjalan	walk													[bakŏkoĕ] kafoekakō														1								
activities	berjalan di pantai	walk along the beach			edie-édie	heddi heddi	keba-hèdie, hèdie-hèdie		edi-edi						bahèdie					kabahedi								meaning1855vR&1855vdS&1878 'go'_meaning1864 'run'_meaning1895 'walk'	6								
movement	berjalan	walk/travel						kekokoje		kekokoje				[caha] cacocoi										kɘkɘ	ki'kėkė				5								
	dinding	wall										èoekoe	piefie											ĩũkũʔ	yũkũ				4								
emotion	mau	want			mahabe-habe	kapie apienjo, kopie apeinja, kofieafie					kahafie, kahapie, [wa]kafie	kahafie	kahafie	cahápi, uacahapi, cahapí	kàhafie, kahapie, mahapie		kahap			hãpĩ								meaning1855vR 'love (v.)'_meaning1888 'wish, want'_note1855vdS: first word means 'wish', second word means 'want', third word means 'love (v.)'_note1888: first two words are taken from a wordlist, the third word literally means 'I wish'_note1894: first two words mean 'hope, like, want, pity' with the second word having the prefix for 1SG, the third word means 'love (v.)'_note1895: first word means 'wish, want, want something', second and third word means 'love (v.)'	9	?			*pia(n)	want, desire	ACD	Kähler 1987:68	unclear, but can be explained by metathesis
emotion	mau	want					ika																						1								
emotion	mau	want			pepo-ej																								1								
	perang	war																						iaʔkaʔaiʔ	yaka'aik, yakai				2								
	perang	war										faboriki	paboriki		fabŏrīkī, pabŏrikī													note1895: first word means 'war', second word means 'war, wage war'	3								
